Name,Latitude,Longitude,Type,Source
access,-15.8080843,35.0585931,Bank,OpenStreetMap
Ecobank,-15.8154633,35.0612741,Bank,OpenStreetMap
FDH Bank,-15.8154288,35.0615256,Bank,OpenStreetMap
FDH Bank Head offices,-15.7857159,35.0056175,Bank,OpenStreetMap
FDH Bank: Umoyo Branch,-15.785734,35.0052598,Bank,OpenStreetMap
FDH Chichiri Service Center,-15.802952,35.0348359,Bank,OpenStreetMap
FDH Limbe Branch,-15.8095002,35.0599497,Bank,OpenStreetMap
First Merchants Bank,-15.7854413,35.0069921,Bank,OpenStreetMap
Indebank,-15.787339,35.0051996,Bank,OpenStreetMap
My bucks banking Hall,-15.7875918,35.0049022,Bank,OpenStreetMap
National Bank,-15.7884269,35.0051153,Bank,OpenStreetMap
National Bank: Victoria Ave. Service Center,-15.7883522,35.0052669,Bank,OpenStreetMap
NBM National Bank Malawi (Top Mandala House),-15.7925167,35.0093172,Bank,OpenStreetMap
NBS Bank,-15.8004702,35.0224955,Bank,OpenStreetMap
NBS Bank closed,-15.7873649,35.0100144,Bank,OpenStreetMap
NED Bank,-15.7862633,35.0056045,Bank,OpenStreetMap
Nedbank,-15.8156843,35.0609698,Bank,OpenStreetMap
New Finance Bank Limbe,-15.8051389,35.0569593,Bank,OpenStreetMap
Reserve Bank,-15.7865924,35.003688,Bank,OpenStreetMap
Stanbic Bank,-15.7848781,35.0057252,Bank,OpenStreetMap
Standard,-15.8131311,35.0607676,Bank,OpenStreetMap
Standard Bank,-15.8005468,35.023616,Bank,OpenStreetMap
Standard Bank ATM,-15.7854419,35.0055983,Bank,OpenStreetMap
Standard Bank Ginnery Corner,-15.7990814,35.0248763,Bank,OpenStreetMap
Western Union,-15.7860135,35.0054571,Bank,OpenStreetMap
AXA buses,-15.8012354,35.0316725,Bus Station,OpenStreetMap
Axa Coach House,-15.7866141,35.0090519,Bus Station,OpenStreetMap
Lower Mibawa Minbus Station,-15.7894965,35.0078037,Bus Station,OpenStreetMap
Sososo Depot,-15.7878234,35.0125776,Bus Station,OpenStreetMap
Wenela Bus Stage,-15.7850676,35.0158599,Bus Station,OpenStreetMap
Caf̩ Grazia,-15.7912242,35.0177942,Cafe,OpenStreetMap
Chez Macky,-15.7959865,35.0017027,Cafe,OpenStreetMap
Kwa Haraba,-15.7853792,35.008131,Cafe,OpenStreetMap
La Caverna & Cafe Mandala,-15.7926416,35.0115596,Cafe,OpenStreetMap
